id,gw,xPts,xMins,Pts,f_error
47,10,3.29,74.28,1.0,2.29
47,1,2.85,56.83,0.0,2.85
47,2,2.94,56.83,2.0,0.94
47,3,2.67,65.21,2.0,0.6699999999999999
47,4,3.0,68.68,1.0,2.0
47,5,2.5,68.68,1.0,1.5
47,6,2.34,68.68,5.0,-2.66
47,8,3.18,66.41,10.0,-6.82
47,9,3.29,73.4,3.0,0.29000000000000004
48,10,0.0,0.0,1.0,-1.0
48,1,1.54,1.32,0.0,1.54
48,2,1.48,1.32,0.0,1.48
48,3,1.56,1.32,0.0,1.56
48,4,1.58,1.32,0.0,1.58
48,5,1.55,0.66,0.0,1.55
48,6,0.0,0.0,0.0,0.0
48,8,0.0,0.0,0.0,0.0
48,9,0.0,0.0,0.0,0.0
49,10,0.0,0.0,0.0,0.0
49,1,1.28,0.26,0.0,1.28
49,2,1.3,0.26,0.0,1.3
49,3,1.25,0.26,0.0,1.25
49,4,1.27,0.26,0.0,1.27
49,5,1.21,0.26,0.0,1.21
49,6,0.0,0.0,0.0,0.0
49,8,0.0,0.0,0.0,0.0
49,9,0.0,0.0,0.0,0.0
50,10,0.0,0.0,0.0,0.0
50,1,3.53,81.5,1.0,2.53
50,2,3.9,83.45,2.0,1.9
50,3,0.0,0.0,0.0,0.0
50,4,0.0,0.0,0.0,0.0
50,5,0.0,0.0,0.0,0.0
50,6,0.0,0.0,0.0,0.0
50,8,0.0,0.0,0.0,0.0
50,9,0.0,0.0,0.0,0.0
51,10,0.0,0.0,0.0,0.0
51,1,1.74,1.05,0.0,1.74
51,2,1.78,1.05,0.0,1.78
51,3,1.58,1.05,0.0,1.58
51,4,1.69,1.05,0.0,1.69
51,5,1.51,1.05,0.0,1.51
51,6,0.0,0.0,0.0,0.0
51,8,0.0,0.0,0.0,0.0
51,9,0.0,0.0,0.0,0.0
52,10,0.0,0.0,0.0,0.0
52,1,0.0,0.0,0.0,0.0
52,2,1.83,0.66,0.0,1.83
52,3,0.0,0.0,0.0,0.0
52,4,0.0,0.0,0.0,0.0
52,5,0.0,0.0,0.0,0.0
52,6,0.0,0.0,0.0,0.0
52,8,0.0,0.0,0.0,0.0
52,9,0.0,0.0,0.0,0.0
53,10,0.0,0.0,0.0,0.0
53,1,2.51,66.0,2.0,0.5099999999999998
53,2,2.6,66.0,2.0,0.6000000000000001
53,3,2.46,76.5,2.0,0.45999999999999996
53,4,2.63,78.65,1.0,1.63
53,5,2.26,78.65,2.0,0.2599999999999998
53,6,2.2,80.4,2.0,0.20000000000000018
53,8,2.77,78.65,1.0,1.77
53,9,0.0,0.0,0.0,0.0
54,10,1.69,5.26,1.0,0.69
54,1,1.84,3.16,1.0,0.8400000000000001
54,2,1.82,2.21,0.0,1.82
54,3,1.57,6.58,0.0,1.57
54,4,1.67,2.63,1.0,0.6699999999999999
54,5,1.51,2.63,0.0,1.51
54,6,1.48,2.63,0.0,1.48
54,8,1.79,5.26,0.0,1.79
54,9,1.44,1.58,0.0,1.44
55,10,0.0,0.0,0.0,0.0
55,1,0.0,0.0,0.0,0.0
55,2,0.0,0.0,0.0,0.0
55,3,0.0,0.0,0.0,0.0
55,4,0.0,0.0,0.0,0.0
55,5,0.0,0.0,0.0,0.0
55,6,0.0,0.0,0.0,0.0
55,8,0.0,0.0,0.0,0.0
55,9,0.0,0.0,0.0,0.0
56,10,1.96,7.37,0.0,1.96
56,1,3.01,1.84,0.0,3.01
56,2,3.27,1.84,0.0,3.27
56,3,2.71,3.68,0.0,2.71
56,4,2.55,0.79,0.0,2.55
56,5,1.89,0.79,0.0,1.89
56,6,1.7,0.79,0.0,1.7
56,8,1.58,0.05,0.0,1.58
56,9,1.89,12.63,0.0,1.89
57,10,2.81,80.64,2.0,0.81
57,1,3.1,84.55,5.0,-1.9
57,2,1.13,78.5,-1.0,2.13
57,3,2.54,57.07,0.0,2.54
57,4,1.27,82.58,-2.0,3.27
57,5,3.32,78.5,6.0,-2.68
57,6,2.77,76.36,1.0,1.77
57,8,2.31,69.02,2.0,0.31000000000000005
57,9,3.02,82.14,8.0,-4.98
58,10,1.66,2.11,0.0,1.66
58,1,0.0,0.0,1.0,-1.0
58,2,1.54,18.95,1.0,0.54
58,3,1.82,18.95,0.0,1.82
58,4,0.0,0.0,0.0,0.0
58,5,0.0,0.0,0.0,0.0
58,6,1.47,1.58,0.0,1.47
58,8,1.48,6.32,0.0,1.48
58,9,1.66,9.47,0.0,1.66
59,10,2.02,31.58,1.0,1.02
59,1,2.46,12.63,0.0,2.46
59,2,0.0,0.0,0.0,0.0
59,3,0.0,0.0,0.0,0.0
59,4,0.0,0.0,0.0,0.0
59,5,1.97,3.68,1.0,0.97
59,6,1.85,14.74,1.0,0.8500000000000001
59,8,2.03,49.21,0.0,2.03
59,9,2.32,38.21,0.0,2.32
60,10,1.74,3.95,0.0,1.74
60,1,0.0,0.0,0.0,0.0
60,2,0.0,0.0,0.0,0.0
60,3,1.6,2.63,0.0,1.6
60,4,0.0,0.0,0.0,0.0
60,5,0.0,0.0,0.0,0.0
60,6,0.0,0.0,0.0,0.0
60,8,0.0,0.0,0.0,0.0
60,9,1.6,3.16,0.0,1.6
61,10,1.61,2.11,0.0,1.61
61,1,1.99,29.47,0.0,1.99
61,2,1.42,13.82,1.0,0.41999999999999993
61,3,1.62,13.82,0.0,1.62
61,4,1.45,9.21,0.0,1.45
61,5,1.74,9.21,0.0,1.74
61,6,1.73,9.21,0.0,1.73
61,8,1.45,2.11,0.0,1.45
61,9,1.62,2.11,0.0,1.62
62,10,2.32,41.0,1.0,1.3199999999999998
62,1,1.99,27.63,6.0,-4.01
62,2,2.13,55.31,2.0,0.1299999999999999
62,3,3.04,73.02,2.0,1.04
62,4,2.4,67.79,2.0,0.3999999999999999
62,5,2.83,57.67,1.0,1.83
62,6,2.84,55.31,1.0,1.8399999999999999
62,8,1.87,37.79,1.0,0.8700000000000001
62,9,2.08,34.11,2.0,0.08000000000000007
63,10,1.78,3.95,0.0,1.78
63,1,1.86,6.32,0.0,1.86
63,2,1.42,2.63,0.0,1.42
63,3,1.63,2.63,0.0,1.63
63,4,1.45,1.32,1.0,0.44999999999999996
63,5,1.89,6.32,0.0,1.89
